sample,mean_COI,median_COI,sd_COI,Quartile_0.025,Quartile_0.975,,region,country
FP0008-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0009-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0015-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0016-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0017-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0018-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0020-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0021-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0022-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0023-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0024-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0025-C,2,2,0.03162,2,2,Ploidy2,West Africa,Mauritania
FP0026-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0027-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0028-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0029-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0030-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0031-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0032-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0033-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0034-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0035-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0038-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0039-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0040-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0041-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0042-C,3,3,0,3,3,Ploidy2,West Africa,Mauritania
FP0043-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0044-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0046-C,3,3,0,3,3,Ploidy2,West Africa,Mauritania
FP0047-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0048-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0051-C,3,3,0,3,3,Ploidy2,West Africa,Mauritania
FP0052-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0054-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0055-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0056-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0057-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0058-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0059-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0061-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0062-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0063-C,3,3,0,3,3,Ploidy2,West Africa,Mauritania
FP0064-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0065-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0066-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0067-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0068-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0069-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0070-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0073-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0077-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0078-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0081-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0082-C,2,2,0.43552,2,3,Ploidy2,West Africa,Mauritania
FP0084-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0089-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0090-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0092-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0093-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0095-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0096-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0097-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0098-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0101-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0102-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0103-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0105-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
FP0106-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0109-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0110-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0112-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0113-C,1,1,0,1,1,Ploidy2,West Africa,Mauritania
FP0114-C,2,2,0,2,2,Ploidy2,West Africa,Mauritania
